CIK,Ticker,Name,Exchange,SIC,Business,Incorporated,IRS
4281,AA,Alcoa Inc,NYSE,3350,PA,PA,250317820
1800,ABT,Abbott Laboratories,NYSE,2834,IL,IL,360698440
1086222,AKAM,Akamai Technologies Inc,NASDAQ,7389,MA,DE,43432319
1018724,AMZN,Amazon Com Inc,NASDAQ,5961,WA,DE,911646860
1018840,ANF,Abercrombie & Fitch Co,NYSE,5651,OH,DE,311469076
1432967,ASTV,As Seen On TV Inc,OTCBB,5900,FL,FL,800149096
848865,AW,Allied Waste Industries LLC,NYSE,4953,AZ,DE,880228636
4962,AXP,American Express Co,NYSE,6199,NY,NY,134922250
764478,BBY,Best Buy Co Inc,NYSE,5731,MN,MN,410907483
14930,BC,Brunswick Corp,NYSE,3510,IL,DE,360848180
890491,BKS,Barnes & Noble Inc,NYSE,5940,NY,DE,61196501
1547282,BKW,Burger King Worldwide Inc,NYSE,5812,FL,DE,455011014
1431897,BNNY,Annies Inc,NYSE,2000,CA,DE,
885725,BSX,Boston Scientific Corp,NYSE,3841,MA,DE,42695240
18230,CAT,Caterpillar Inc,NYSE,3531,IL,DE,370602744
830524,CCF,Chase Corp,NYSE MKT,3640,MA,MA,111797126
1364954,CHGG,Chegg Inc,NYSE,8200,CA,DE,203237489
317540,COKE,Coca Cola Bottling Co Consolidated,NASDAQ,2086,NC,DE,560950585
1050797,COLM,Columbia Sportswear Co,NASDAQ,2300,OR,OR,930498284
909832,COST,Costco Wholesale Corp,NASDAQ,5331,WA,WA,911223280
1108524,CRM,Salesforce Com Inc,NYSE,7372,CA,DE,943320693
858877,CSCO,Cisco Systems Inc,NASDAQ,3576,CA,CA,770059951
18926,CTL,Centurylink Inc,NYSE,4813,LA,LA,720651161
64803,CVS,CVS Caremark Corp,NYSE,5912,RI,DE,50494040
30554,DD,Dupont E I De Nemours & Co,NYSE,2820,DE,DE,510014090
826083,DELL,Dell Inc,NASDAQ,3571,TX,DE,742487834
852772,DENN,Dennys Corp,NASDAQ,5812,SC,DE,133487402
29534,DG,Dollar General Corp,NYSE,5331,TN,TN,610502302
1001039,DIS,Walt Disney Co,NYSE,4841,CA,DE,954545390
1001082,DISH,Dish Network Corp,NASDAQ,4841,CO,NV,880336997
1089063,DKS,Dicks Sporting Goods Inc,NYSE,5940,PA,DE,161241537
1357204,DNKN,Dunkin Brands Group Inc,NASDAQ,5810,MA,DE,
1065088,EBAY,Ebay Inc,NASDAQ,7389,CA,DE,770430924
1001250,EL,Estee Lauder Companies Inc,NYSE,2844,NY,DE,112408943
837465,ELY,Callaway Golf Co,NYSE,3949,CA,DE,953797580
37996,F,Ford Motor Co,NYSE,3711,MI,DE,380549190
815556,FAST,Fastenal Co,NASDAQ,5200,MN,MN,410948415
886137,FINL,Finish Line Inc,NASDAQ,5661,IN,IN,351537210
850209,FL,Foot Locker Inc,NYSE,5661,NY,NY,133513936
1084869,FLWS,1 800 Flowers Com Inc,NASDAQ,5990,NY,DE,113117311
883569,FOSL,Fossil Group Inc,NASDAQ,3873,TX,DE,752018505
1068002,FOX,Fox Entertainment Group Inc,NASDAQ,7812,NY,DE,954066193
